,actual_coverage,# contigs,pooled_library,N50,L50,BGC_count,Complete BUSCOS (%),dataset,BGC total length (Mbp),Assembly length (Mbp)
57,46.66473061528555,664.0,1,636.0,233.0,0.0,,ELF,<0.1,0.475194
58,8.937394364145005,10915.0,1,748.0,4071.0,0.0,3.35,ELF,<0.1,8.23584
60,8.453737516017524,14097.0,1,945.0,4693.0,0.0,11.81,ELF,<0.1,12.801604
62,40.52591157953898,994.0,1,592.0,414.0,0.0,,ELF,<0.1,0.626303
63,10.975943863067045,10989.0,1,717.0,4182.0,0.0,2.4,ELF,<0.1,8.015543
64,18.24013235519891,3715.0,1,13725.0,683.0,28.0,89.71,ELF,0.5-1,30.659317
65,11.86799368693507,16150.0,1,3075.0,3645.0,60.0,81.71,ELF,0.5-1,36.366488
66,38.45572769315309,7832.0,1,5315.0,1658.0,53.0,95.58,ELF,0.5-1,28.791373
67,36.90492231223062,9008.0,1,4212.0,1979.0,34.0,94.74,ELF,0.1-0.5,27.066487
68,29.718902635600777,7806.0,1,5575.0,1632.0,49.0,95.58,ELF,0.5-1,29.65396
69,19.252989848891836,13195.0,1,3511.0,3007.0,27.0,86.89,ELF,0.1-0.5,32.754749
70,15.61192199766873,7671.0,1,6460.0,1577.0,58.0,88.95,ELF,0.5-1,32.302573
74,13.701290420534619,9195.0,1,691.0,3586.0,0.0,,ELF,<0.1,6.500749
75,23.03427644690659,7585.0,1,7680.0,1537.0,17.0,93.06,ELF,0.1-0.5,36.348079
76,34.95434324291411,3957.0,1,774.0,1366.0,0.0,,ELF,<0.1,3.153312
77,29.452564008551395,4760.0,1,13257.0,760.0,72.0,96.57,ELF,1-1.5,34.569795
78,23.199403136173,20149.0,1,1025.0,5852.0,3.0,9.07,ELF,<0.1,20.091685
79,6.065246424420284,19682.0,1,1936.0,5064.0,0.0,42.91,ELF,<0.1,30.738512
80,50.205538481646826,2218.0,1,736.0,778.0,0.0,,ELF,<0.1,1.713791
81,57.373261826566974,457.0,1,720.0,161.0,0.0,0.5,ELF,<0.1,0.343464
82,48.54036469480353,685.0,1,710.0,244.0,0.0,0.6,ELF,<0.1,0.513964
83,12.74465020689608,5875.0,1,6267.0,1236.0,35.0,93.67,ELF,0.5-1,25.204199
84,12.27762370785271,4641.0,1,13999.0,819.0,18.0,88.34,ELF,0.1-0.5,37.33514
85,9.862503134728785,10787.0,1,4979.0,2239.0,13.0,75.53,ELF,0.1-0.5,35.505464
86,10.340065431649183,13157.0,1,1053.0,4231.0,2.0,22.03,ELF,<0.1,12.939304
87,16.45375044930338,18266.0,1,3737.0,3941.0,86.0,88.34,ELF,0.5-1,47.773956
88,14.635535860763728,2191.0,1,34672.0,300.0,27.0,93.37,ELF,0.5-1,32.73285
89,6.243729228456451,21585.0,1,1763.0,5743.0,7.0,,ELF,<0.1,31.275059
90,9.406790184328008,20468.0,1,2106.0,4875.0,1.0,,ELF,<0.1,33.484982
91,10.899307436679551,3670.0,1,14948.0,646.0,21.0,90.02,ELF,0.1-0.5,30.998754
92,9.391826166618612,7987.0,1,7870.0,1568.0,79.0,83.16,ELF,0.5-1,39.826919
93,8.706143444612174,7722.0,1,8211.0,1512.0,68.0,74.7,ELF,0.5-1,40.227025
94,8.021644772278298,21471.0,1,2386.0,5226.0,57.0,69.97,ELF,0.1-0.5,39.511342
95,13.066426040673113,15286.0,1,3619.0,3275.0,4.0,83.16,ELF,<0.1,38.035791
96,6.105645085916673,18134.0,1,853.0,6347.0,0.0,7.39,ELF,<0.1,15.161027
97,6.325488712713546,26810.0,1,1306.0,7732.0,4.0,,ELF,<0.1,31.039657
98,6.4522121924370275,18685.0,1,979.0,6067.0,0.0,17.84,ELF,<0.1,17.461546
99,10.289629504810486,11287.0,1,708.0,4308.0,0.0,2.2,ELF,<0.1,8.177758
100,6.533389456171262,26061.0,1,1877.0,6745.0,8.0,,ELF,<0.1,39.689131
101,8.05448461204498,8666.0,1,5191.0,1815.0,13.0,71.88,ELF,0.1-0.5,30.090808
102,5.43336510456843,24212.0,1,1608.0,6635.0,1.0,,ELF,<0.1,32.857814
103,10.15888523238478,17525.0,1,2586.0,4213.0,35.0,74.92,ELF,0.1-0.5,34.434226
104,9.903103679618114,16054.0,1,2633.0,3547.0,27.0,77.67,ELF,0.1-0.5,31.154021
105,24.300613217351483,6427.0,1,8343.0,1330.0,19.0,93.52,ELF,0.1-0.5,34.187878
106,15.34272753423661,14333.0,1,3654.0,3127.0,48.0,86.74,ELF,0.1-0.5,37.019363
107,7.443389309180917,20525.0,1,1783.0,5410.0,6.0,,ELF,<0.1,29.945713
108,32.51666907127252,1514.0,1,725.0,524.0,0.0,,ELF,<0.1,1.164432
109,10.805556894620317,18617.0,1,2476.0,4485.0,29.0,85.75,ELF,0.1-0.5,35.742193
110,9.97864267091048,13489.0,1,987.0,4206.0,0.0,,ELF,<0.1,12.777815
111,21.016381255769705,12289.0,1,3787.0,2600.0,31.0,88.49,ELF,0.1-0.5,32.077028
112,24.89316365795476,8073.0,1,4550.0,1776.0,51.0,94.21,ELF,0.5-1,26.185846
113,20.231012352332943,1979.0,1,43891.0,233.0,31.0,92.99,ELF,0.5-1,34.1393
114,50.35587706859235,876.0,1,585.0,363.0,0.0,,ELF,<0.1,0.549347
115,8.48991719203354,12214.0,1,3458.0,2742.0,44.0,76.22,ELF,0.1-0.5,30.240931
116,6.105621948944397,22037.0,1,1605.0,6036.0,1.0,,ELF,<0.1,29.893957
117,6.873330583101539,21844.0,1,1183.0,6507.0,3.0,38.8,ELF,<0.1,23.53741
118,10.852930534771303,16440.0,1,1618.0,4440.0,10.0,,ELF,<0.1,22.461583
